id,creationDate,lastUpdateDate,createdBy,lastUpdatedBy,firstName,lastName,email,phoneNumber,hireDate,job,salaryOffered,commissionPct,manager,department
100,2020-02-03T14:43:12,2020-02-03T14:43:12,jane.smith@example.com,jane.smith@example.com,Steven,King,sking@example.com,515.123.4567,2003-06-17,1.0,24000.0,,,9.0
101,2020-02-03T14:43:12,2020-02-03T14:43:12,jane.smith@example.com,jane.smith@example.com,Neena,Kochhar,nkochhar@example.com,515.123.4568,2005-09-21,2.0,17000.0,,100,9.0
102,2020-02-03T14:43:12,2020-02-03T14:43:12,jane.smith@example.com,jane.smith@example.com,Lex,De Haan,ldehaan@example.com,515.123.4569,2001-01-13,2.0,17000.0,,100,9.0
103,2020-02-03T14:43:12,2020-02-03T14:43:12,jane.smith@example.com,jane.smith@example.com,Alexander,Hunold,ahunold@example.com,590.423.4567,2006-01-03,15.0,9000.0,,102,6.0
104,2020-02-03T14:43:12,2020-02-03T14:43:12,jane.smith@example.com,jane.smith@example.com,Bruce,Ernst,bernst@example.com,590.423.4568,2007-05-21,15.0,6000.0,,103,6.0
105,2020-02-03T14:43:12,2020-02-03T14:43:12,jane.smith@example.com,jane.smith@example.com,David,Austin,daustin@example.com,590.423.4569,2005-06-25,15.0,4800.0,,103,6.0
106,2020-02-03T14:43:12,2020-02-03T14:43:12,jane.smith@example.com,jane.smith@example.com,Valli,Pataballa,vpatabal@example.com,590.423.4560,2006-02-05,15.0,4800.0,,103,6.0
107,2020-02-03T14:43:12,2020-02-03T14:43:12,jane.smith@example.com,jane.smith@example.com,Diana,Lorentz,dlorentz@example.com,590.423.5567,2007-02-07,15.0,4200.0,,103,6.0
108,2020-02-03T14:43:12,2020-02-03T14:43:12,jane.smith@example.com,jane.smith@example.com,Nancy,Greenberg,ngreenbe@example.com,515.124.4569,2002-08-17,4.0,12008.0,,101,10.0
109,2020-02-03T14:43:12,2020-02-03T14:43:12,jane.smith@example.com,jane.smith@example.com,Daniel,Faviet,dfaviet@example.com,515.124.4169,2002-08-16,5.0,9000.0,,108,10.0
